matchId,squadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers
80350704,806,80006,1,0,0,0,0,1,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0
80350704,806,80006,2,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,2
80350704,806,80006,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0
80350704,806,80006,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0
80350704,806,80038,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0
80350704,806,80038,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0
80350704,806,80038,3,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,4,0,0,8,0,1,0,0
80350704,806,80038,4,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,1,0,1,0,0,6,0,0,0,0
80350704,806,80069,1,0,0,0,0,0,5,4,0,0,6,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0
80350704,806,80069,2,1,0,0,0,0,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1
80350704,806,80069,3,0,0,0,0,0,1,0,0,0,10,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0
80350704,806,80069,4,0,0,0,0,0,0,2,0,1,3,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0
80350704,806,80072,1,0,0,0,0,0,0,0,0,0,3,0,1,14,4,10,0,0,0,3,0,0,0,3,0,2
80350704,806,80072,2,0,0,0,0,0,0,0,0,1,2,0,2,11,2,9,0,0,0,1,0,0,0,1,0,1
80350704,806,80072,3,0,0,0,0,0,0,0,0,0,2,0,1,12,3,9,0,0,0,0,0,0,1,0,0,2
80350704,806,80072,4,0,0,0,0,0,0,1,0,0,2,0,2,7,2,5,0,0,0,0,0,1,0,0,0,3
80350704,806,80075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80075,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80075,3,0,0,0,0,0,5,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
80350704,806,80075,4,1,0,0,0,0,5,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
80350704,806,80157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80157,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80157,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80157,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80162,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80162,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80162,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
80350704,806,80179,1,0,0,0,0,0,6,1,0,0,0,0,0,9,4,5,0,0,0,0,0,1,0,0,0,2
80350704,806,80179,2,0,0,0,0,0,5,1,0,2,3,2,3,6,0,6,0,0,0,0,0,1,0,0,0,0
80350704,806,80179,3,0,0,0,0,0,6,0,0,0,0,0,0,6,1,5,0,0,0,1,0,0,0,1,0,0
80350704,806,80179,4,0,0,0,0,0,6,3,0,0,1,1,1,6,0,6,1,0,0,0,0,3,0,0,0,0
80350704,806,80470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350704,806,80470,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
