Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-12-18 02:28:32 +0000,0,Moloney,C,Centre Pass,1,0,0,50, 100
2018-12-18 02:28:32 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,0,0,26, 86
2018-12-18 02:28:35 +0000,0,Moloney,C,Assist - 2nd Phase,1,0,0,53, 73
2018-12-18 02:28:51 +0000,0,Phillip,GA,Possession,1,0,0,80, 18
2018-12-18 02:28:55 +0000,0,Moloney,C,Possession,1,0,0,25, 30
2018-12-18 02:28:57 +0000,1,McAuliffe,WD,Gain - Inter,1,0,0,30, 31
2018-12-18 02:29:04 +0000,1,Scherian ,C,Possession,1,0,0,54, 42
2018-12-18 02:29:06 +0000,1,Mentor,GK,Possession,1,0,0,9, 41
2018-12-18 02:29:11 +0000,1,McAuliffe,WD,Possession,1,0,0,22, 54
2018-12-18 02:29:15 +0000,1,Mentor,GK,Possession,1,0,0,46, 47
2018-12-18 02:29:17 +0000,1,Browne,WA,Possession,1,0,0,82, 80
2018-12-18 02:29:20 +0000,1,McAuliffe,WD,Possession,1,0,0,49, 83
2018-12-18 02:29:24 +0000,1,Wood,GA,Possession,1,0,0,65, 117
2018-12-18 02:29:26 +0000,1,Browne,WA,Possession,1,0,0,88, 129
2018-12-18 02:29:30 +0000,0,Ingles,WD,Penaly - Obstruction,1,0,0,89, 136
2018-12-18 02:29:30 +0000,1,Browne,WA,Possession,1,0,0,89, 136
2018-12-18 02:29:41 +0000,1,Wood,GA,Possession,1,0,0,66, 162
2018-12-18 02:29:43 +0000,1,Scherian ,C,Possession,1,0,0,16, 185
2018-12-18 02:29:46 +0000,0,Moloney,C,Penaly - Obstruction,1,0,0,16, 185
2018-12-18 02:29:46 +0000,1,Scherian ,C,Possession,1,0,0,16, 185
2018-12-18 02:29:57 +0000,1,Scherian ,C,Assist - Circle Entry,1,0,0,16, 185
2018-12-18 02:29:57 +0000,1,Wood,GA,Possession,1,0,0,28, 187
2018-12-18 02:29:58 +0000,0,Weston,GD,Penaly - Contact,1,0,0,28, 187
2018-12-18 02:29:59 +0000,1,Wood,GA,Possession,1,0,0,28, 187
2018-12-18 02:30:25 +0000,1,Bassett,GS,Possession,1,0,0,38, 190
2018-12-18 02:30:25 +0000,0,Dehaney,GK,Penaly - Contact,1,0,0,38, 190
2018-12-18 02:30:25 +0000,1,Bassett,GS,Goal - Score,1,0,0,38, 190
2018-12-18 02:30:45 +0000,1,Scherian ,C,Centre Pass,1,0,1,50, 100
2018-12-18 02:30:45 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,0,1,87, 127
2018-12-18 02:30:48 +0000,1,Browne,WA,Assist - 2nd Phase,1,0,1,22, 170
2018-12-18 02:30:54 +0000,1,Browne,WA,Assist - Circle Entry,1,0,1,22, 170
2018-12-18 02:30:54 +0000,1,Bassett,GS,Possession,1,0,1,37, 187
2018-12-18 02:30:56 +0000,0,Dehaney,GK,Penaly - Contact,1,0,1,37, 187
2018-12-18 02:30:56 +0000,1,Bassett,GS,Goal - Score,1,0,1,37, 187
2018-12-18 02:31:05 +0000,0,Moloney,C,Centre Pass,1,0,2,50, 100
2018-12-18 02:31:05 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,0,2,71, 81
2018-12-18 02:31:08 +0000,0,Moloney,C,Assist - 2nd Phase,1,0,2,79, 54
2018-12-18 02:31:10 +0000,0,Phillip,GA,Possession,1,0,2,79, 18
2018-12-18 02:31:12 +0000,0,Moloney,C,Possession,1,0,2,86, 39
2018-12-18 02:31:14 +0000,0,Watson,WA,Possession,1,0,2,68, 35
2018-12-18 02:31:17 +0000,0,Watson,WA,Assist - Circle Entry,1,0,2,68, 35
2018-12-18 02:31:17 +0000,0,Commane,GS,Possession,1,0,2,30, 7
2018-12-18 02:31:19 +0000,0,Moloney,C,Possession,1,0,2,23, 24
2018-12-18 02:31:22 +0000,0,Moloney,C,Assist - Circle Entry,1,0,2,23, 24
2018-12-18 02:31:22 +0000,0,Phillip,GA,Goal - Score,1,0,2,48, 13
2018-12-18 02:31:32 +0000,1,Scherian ,C,Centre Pass,1,1,2,50, 100
2018-12-18 02:31:32 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,1,2,55, 123
2018-12-18 02:31:37 +0000,1,Browne,WA,Assist - 2nd Phase,1,1,2,18, 156
2018-12-18 02:31:40 +0000,1,Wood,GA,Possession,1,1,2,14, 187
2018-12-18 02:31:43 +0000,1,Wood,GA,Assist - Circle Entry,1,1,2,14, 187
2018-12-18 02:31:43 +0000,1,Bassett,GS,Possession,1,1,2,35, 182
2018-12-18 02:31:45 +0000,1,Wood,GA,Possession,1,1,2,15, 192
2018-12-18 02:31:47 +0000,1,Browne,WA,Loss - Bad Pass,1,1,2,83, 186
2018-12-18 02:31:57 +0000,0,Dehaney,GK,Throw In,1,1,2,-3, 173
2018-12-18 02:32:05 +0000,0,Weston,GD,Possession,1,1,2,67, 168
2018-12-18 02:32:07 +0000,0,Moloney,C,Possession,1,1,2,85, 140
2018-12-18 02:32:09 +0000,0,Weston,GD,Possession,1,1,2,70, 130
2018-12-18 02:32:11 +0000,0,Watson,WA,Possession,1,1,2,11, 68
2018-12-18 02:32:13 +0000,0,Phillip,GA,Possession,1,1,2,44, 48
2018-12-18 02:32:16 +0000,0,Phillip,GA,Assist - Circle Entry,1,1,2,44, 48
2018-12-18 02:32:16 +0000,0,Commane,GS,Goal - Score,1,1,2,49, 11
2018-12-18 02:32:27 +0000,0,Moloney,C,Centre Pass,1,2,2,50, 100
2018-12-18 02:32:27 +0000,0,Phillip,GA,Assist - Centre Pass Rec,1,2,2,75, 71
2018-12-18 02:32:29 +0000,0,Watson,WA,Assist - 2nd Phase,1,2,2,56, 57
2018-12-18 02:32:31 +0000,0,Watson,WA,Assist - Circle Entry,1,2,2,56, 57
2018-12-18 02:32:31 +0000,0,Commane,GS,Possession,1,2,2,51, 27
2018-12-18 02:32:45 +0000,1,Scherian ,C,Loss - Offside,1,2,2,48, 31
2018-12-18 02:32:57 +0000,0,Phillip,GA,Possession,1,2,2,47, 29
2018-12-18 02:33:08 +0000,0,Watson,WA,Possession,1,2,2,71, 26
2018-12-18 02:33:16 +0000,0,Watson,WA,Assist - Circle Entry,1,2,2,71, 26
2018-12-18 02:33:16 +0000,0,Phillip,GA,Possession,1,2,2,61, 17
2018-12-18 02:33:21 +0000,1,Mentor,GK,Penaly - Contact,1,2,2,61, 17
2018-12-18 02:33:21 +0000,0,Phillip,GA,Goal - Score,1,2,2,61, 17
2018-12-18 02:33:34 +0000,1,Scherian ,C,Centre Pass,1,3,2,50, 100
2018-12-18 02:33:34 +0000,0,Weston,GD,Penaly - Contact on CP,1,3,2,45, 145
2018-12-18 02:33:34 +0000,1,Scherian ,C,Possession,1,3,2,45, 145
2018-12-18 02:33:41 +0000,1,Scherian ,C,Assist - Circle Entry,1,3,2,45, 145
2018-12-18 02:33:41 +0000,1,Wood,GA,Assist - 2nd Phase,1,3,2,60, 190
2018-12-18 02:33:45 +0000,0,Weston,GD,Penaly - Obstruction,1,3,2,60, 190
2018-12-18 02:33:46 +0000,1,Wood,GA,Goal - Score,1,3,2,60, 190
2018-12-18 02:33:57 +0000,0,Moloney,C,Centre Pass,1,3,3,50, 100
2018-12-18 02:33:57 +0000,0,Phillip,GA,Assist - Centre Pass Rec,1,3,3,76, 76
2018-12-18 02:33:59 +0000,0,Watson,WA,Assist - 2nd Phase,1,3,3,78, 24
2018-12-18 02:34:02 +0000,0,Watson,WA,Assist - Circle Entry,1,3,3,78, 24
2018-12-18 02:34:02 +0000,0,Phillip,GA,Goal - Score,1,3,3,43, 9
2018-12-18 02:34:16 +0000,1,Scherian ,C,Centre Pass,1,4,3,50, 100
2018-12-18 02:34:16 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,4,3,32, 114
2018-12-18 02:34:23 +0000,1,Scherian ,C,Deflect,1,4,3,50, 121
2018-12-18 02:34:26 +0000,1,Wood,GA,Possession,1,4,3,70, 111
2018-12-18 02:34:31 +0000,1,Pretorius ,GD,Possession,1,4,3,61, 83
2018-12-18 02:34:32 +0000,0,Watson,WA,Penaly - Contact,1,4,3,66, 70
2018-12-18 02:34:32 +0000,1,Pretorius ,GD,Possession,1,4,3,66, 70
2018-12-18 02:34:49 +0000,1,Scherian ,C,Possession,1,4,3,58, 105
2018-12-18 02:34:54 +0000,1,Wood,GA,Possession,1,4,3,82, 128
2018-12-18 02:34:57 +0000,1,Pretorius ,GD,Possession,1,4,3,57, 106
2018-12-18 02:34:59 +0000,1,Scherian ,C,Possession,1,4,3,53, 114
2018-12-18 02:35:10 +0000,1,Browne,WA,Possession,1,4,3,87, 143
