matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,disposals,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,passes,penalties,pickups,possessions,quartersPlayed,rebounds,tossUpWin,turnovers
102940101,811,813,80475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,80475,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,80475,3,0,0,0,0,0,4,1,0,0,8,3,0,3,4,0,4,0,15,0,0,0,0,3,1,1,10,1,0,0,2
102940101,811,813,80475,4,0,0,0,0,0,4,0,0,0,7,3,0,2,4,0,4,0,8,0,0,0,0,3,0,0,8,1,0,0,0
102940101,811,813,80577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,80577,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,80577,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,80577,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,80833,1,0,0,0,0,0,0,2,0,0,12,12,0,4,0,0,0,0,15,0,0,0,0,12,2,1,1,1,0,0,1
102940101,811,813,80833,2,0,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,15,0,3,0,1,2,3,0,0,1,0,0,1
102940101,811,813,80833,3,1,0,0,0,0,0,3,0,0,3,3,0,2,0,0,0,0,15,0,0,0,0,3,3,0,0,1,0,0,1
102940101,811,813,80833,4,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,8,0,0,0,0,4,0,0,1,1,0,0,0
102940101,811,813,991905,1,0,0,0,0,0,2,2,0,3,0,0,2,0,0,0,0,0,15,0,0,0,1,0,2,1,4,1,0,0,0
102940101,811,813,991905,2,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,4,1,0,0,0
102940101,811,813,991905,3,0,1,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,15,0,1,0,0,0,1,1,5,1,0,0,1
102940101,811,813,991905,4,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,2,8,0,0,0,0,0,2,0,5,1,0,0,1
102940101,811,813,992954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,992954,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,992954,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
102940101,811,813,992954,4,0,0,0,0,0,2,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0
102940101,811,813,994213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,994213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,994213,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,994213,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,811,813,994224,1,0,0,0,0,0,3,2,0,1,10,9,0,1,0,0,0,0,15,0,0,0,0,9,2,0,4,1,0,0,1
102940101,811,813,994224,2,0,0,0,0,0,4,3,0,0,9,9,0,6,0,0,0,0,15,0,0,0,0,9,3,0,4,1,0,0,1
102940101,811,813,994224,3,0,1,0,0,0,4,1,0,0,11,11,0,4,0,0,0,0,15,0,0,0,0,11,1,2,6,1,0,0,1
102940101,811,813,994224,4,0,0,0,0,0,3,2,0,0,7,7,0,4,0,0,0,0,8,0,0,0,0,7,2,0,3,1,0,0,0
102940101,813,811,80099,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,15,0,3,0,0,0,5,1,2,1,1,0,0
102940101,813,811,80099,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,9,1,1,1,0,0,0
102940101,813,811,80099,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,1,0,0,0
102940101,813,811,80099,4,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,1,2,1,0,0,0
102940101,813,811,80100,1,0,0,0,0,0,7,0,0,0,8,5,0,4,3,0,3,0,15,0,0,0,0,5,0,0,10,1,0,0,0
102940101,813,811,80100,2,0,0,0,0,0,0,0,0,0,19,5,0,2,12,3,9,0,15,0,0,1,0,5,0,0,15,1,1,0,2
102940101,813,811,80100,3,0,0,0,0,0,0,0,0,0,14,4,0,0,10,2,8,0,15,0,0,0,0,4,0,0,10,1,0,0,1
102940101,813,811,80100,4,0,0,0,0,0,0,0,0,0,15,3,0,0,12,1,11,0,8,0,0,0,0,3,0,0,12,1,0,0,0
102940101,813,811,80198,1,1,0,0,0,0,0,1,0,1,10,0,0,0,10,0,10,0,15,0,0,0,0,0,1,1,12,1,0,0,2
102940101,813,811,80198,2,1,0,0,0,0,4,0,0,1,5,2,1,1,3,0,3,0,15,0,1,0,0,2,1,0,7,1,0,0,1
102940101,813,811,80198,3,0,0,0,0,0,6,2,0,1,7,2,0,0,5,0,5,0,15,0,0,0,0,2,2,0,11,1,0,0,1
102940101,813,811,80198,4,1,0,0,0,0,6,1,0,0,6,1,0,0,5,0,5,0,8,0,1,1,0,1,2,0,12,1,1,0,2
102940101,813,811,80287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80287,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80287,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80287,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80304,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,1,0,0,0
102940101,813,811,80304,3,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,2,1,0,0,0
102940101,813,811,80304,4,0,0,0,0,0,4,4,0,0,1,1,0,1,0,0,0,0,8,0,0,0,0,1,4,0,4,1,0,0,0
102940101,813,811,80424,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,15,0,1,0,0,1,2,0,0,1,0,0,0
102940101,813,811,80424,2,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,15,0,0,0,0,2,2,0,0,1,0,0,0
102940101,813,811,80424,3,0,1,0,0,0,0,2,0,1,4,3,0,2,0,0,0,0,11,0,0,0,0,3,2,0,1,1,0,0,2
102940101,813,811,80424,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80477,1,0,0,0,0,0,5,1,0,0,7,6,0,5,0,0,0,0,15,0,0,0,0,6,1,0,6,1,0,0,1
102940101,813,811,80477,2,0,0,0,0,0,7,0,0,1,8,7,0,0,0,0,0,0,15,0,0,0,0,7,0,0,8,1,0,0,0
102940101,813,811,80477,3,0,0,0,0,0,5,1,0,0,9,9,0,5,0,0,0,0,15,0,1,0,0,9,2,0,5,1,0,0,0
102940101,813,811,80477,4,0,0,0,0,0,5,1,0,0,13,13,0,5,0,0,0,0,8,0,0,0,0,13,1,0,5,1,0,0,0
102940101,813,811,80604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80604,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,3,0,2,1,2,0,0
102940101,813,811,80604,3,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,1,1,0,0,0
102940101,813,811,80604,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,5,0,0,1,0,0,0
102940101,813,811,80710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80710,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80710,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80710,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80776,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80776,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,80776,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,993041,1,0,0,0,0,0,0,5,1,1,1,0,1,0,0,0,0,0,15,0,4,0,0,0,9,0,2,1,1,0,1
102940101,813,811,993041,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,3,1,1,1,0,0,0
102940101,813,811,993041,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,993041,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102940101,813,811,994117,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,1,0,0,0
102940101,813,811,994117,2,0,0,0,0,0,2,4,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,4,1,5,1,0,0,0
102940101,813,811,994117,3,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,1,0,0,0
102940101,813,811,994117,4,0,0,0,0,0,0,2,0,0,4,4,1,2,0,0,0,1,8,0,2,0,0,4,4,0,1,1,0,0,0
