matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers
80351102,804,807,80010,1,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,3,0,0,5,0,0,0,0
80351102,804,807,80010,2,0,1,0,0,0,0,1,2,3,0,3,0,0,0,0,0,0,2,0,0,3,1,2,0,1
80351102,804,807,80010,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0
80351102,804,807,80010,4,0,0,0,0,0,0,5,1,1,0,1,0,0,0,0,0,0,2,0,0,7,1,1,0,0
80351102,804,807,80041,1,0,0,0,0,0,10,2,0,0,7,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0
80351102,804,807,80041,2,0,1,0,0,0,7,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
80351102,804,807,80041,3,0,0,0,0,0,5,2,0,0,11,0,5,0,0,0,0,0,1,0,0,3,0,0,0,1
80351102,804,807,80041,4,0,0,0,0,0,7,1,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80351102,804,807,80042,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,3,1,0,0,1
80351102,804,807,80042,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0
80351102,804,807,80042,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
80351102,804,807,80042,4,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,3,0,1,0,0
80351102,804,807,80044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80351102,804,807,80044,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80351102,804,807,80044,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80351102,804,807,80044,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,1
80351102,804,807,80050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80351102,804,807,80050,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80351102,804,807,80050,3,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
80351102,804,807,80050,4,0,0,0,0,0,3,2,0,0,4,0,3,6,1,5,0,0,0,1,0,2,0,1,0,1
80351102,804,807,80180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80351102,804,807,80180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80351102,804,807,80180,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
