matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,quartersPlayed,rebounds,tossUpWin,turnovers
96440104,811,813,80009,1,0,0,0,0,0,2,1,0,0,6,0,2,4,1,3,0,15,0,0,0,0,1,0,1,0,0,1
96440104,811,813,80009,2,0,0,0,0,0,5,0,0,0,4,0,3,5,2,3,0,15,0,0,0,0,0,1,1,0,0,3
96440104,811,813,80009,3,0,0,0,0,0,3,1,0,1,3,0,2,2,1,1,0,15,0,0,0,0,1,0,1,0,0,0
96440104,811,813,80009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80045,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,15,0,2,0,0,7,1,1,0,0,1
96440104,811,813,80045,2,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,15,0,3,0,0,4,0,1,0,0,0
96440104,811,813,80045,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,3,0,0,4,0,1,0,0,0
96440104,811,813,80045,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,0,0,0
96440104,811,813,80048,1,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0
96440104,811,813,80048,2,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,15,0,1,0,0,6,0,1,0,0,0
96440104,811,813,80048,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0
96440104,811,813,80048,4,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,1,15,0,1,0,0,7,1,1,0,0,0
96440104,811,813,80052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80052,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80052,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80052,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80067,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80067,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80067,4,0,0,0,0,0,2,0,0,2,4,0,2,3,1,2,0,15,0,1,0,0,1,0,1,0,0,1
96440104,811,813,80076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80076,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80076,3,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1
96440104,811,813,80076,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80080,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,15,0,1,0,0,4,0,1,0,0,0
96440104,811,813,80080,2,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,15,0,4,0,0,8,0,1,1,0,0
96440104,811,813,80080,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,15,0,0,0,0,2,0,1,0,0,0
96440104,811,813,80080,4,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,2,15,0,2,0,0,4,0,1,1,0,1
96440104,811,813,80113,1,3,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,15,0,1,0,0,1,0,1,0,0,3
96440104,811,813,80113,2,1,0,0,0,0,0,0,0,0,0,0,0,12,1,11,0,15,0,1,0,0,1,1,1,0,0,2
96440104,811,813,80113,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,15,0,0,1,0,0,0,1,1,0,0
96440104,811,813,80113,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,15,0,0,0,0,0,0,1,0,0,0
96440104,811,813,80299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80299,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80299,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96440104,811,813,80299,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
