matchId,squadId,oppSquadId,playerId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,quartersPlayed,rebounds,secondPhaseReceive,tossUpWin,turnoverHeld,unforcedTurnovers
120450804,806,8117,80078,1,10.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,1.0,11.0,2.0,9.0,0.0,9.0,0.0,0.0,15.0,1.0,-1.5,1.0,1.0,2.0,0.0,9.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0
120450804,806,8117,80078,2,11.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,1.0,11.0,1.0,10.0,0.0,10.0,0.0,0.0,15.0,0.0,18.5,0.0,0.0,1.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
120450804,806,8117,80078,3,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,1.0,14.0,3.0,11.0,0.0,11.0,0.0,1.0,15.0,0.0,37.5,0.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
120450804,806,8117,80078,4,12.0,1.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,13.0,5.0,8.0,0.0,8.0,0.0,0.0,15.0,4.0,-8.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,1.0,2.0,0.0,0.0,1.0
120450804,806,8117,80439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,13.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,32.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,1.0
120450804,806,8117,80439,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,51.5,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
120450804,806,8117,80439,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,36.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
120450804,806,8117,80439,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,31.5,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
120450804,806,8117,80574,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,19.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
120450804,806,8117,80574,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
120450804,806,8117,80574,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,-5.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
120450804,806,8117,80574,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
