matchId,squadId,playerId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,deflections,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,points,possessionChanges,possessions,quartersPlayed,rebounds,tossUpWin
111081301,8117,80105,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,-0.5,0.0,0.0,3.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0
111081301,8117,80105,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,31.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
111081301,8117,80105,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,6.0,7.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,-20.5,0.0,0.0,7.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0
111081301,8117,80105,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,16.5,0.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
111081301,8117,80296,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-3.5,1.0,0.0,5.0,1.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0
111081301,8117,80296,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,4.0,9.0,1.0,0.0,0.0
111081301,8117,80296,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
111081301,8117,80296,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-3.5,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
111081301,8117,80297,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111081301,8117,80297,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111081301,8117,80297,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
111081301,8117,80297,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
111081301,8117,80475,1,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0,11.0,10.0,0.0,0.0,2.0,3.0,0.0,9.0,4.0,1.0,3.0,0.0,3.0,1.0,0.0,15.0,1.0,10.0,0.0,0.0,10.0,1.0,1.0,3.0,3.0,9.0,1.0,0.0,0.0
111081301,8117,80475,2,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,8.0,0.0,27.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,0.0
111081301,8117,80475,3,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,9.0,5.0,5.0,0.0,0.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,15.0,1.0,-5.5,0.0,0.0,5.0,1.0,0.0,3.0,3.0,10.0,1.0,0.0,0.0
111081301,8117,80475,4,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,13.0,5.0,9.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,15.0,0.0,21.0,0.0,0.0,9.0,0.0,1.0,3.0,1.0,11.0,1.0,0.0,0.0
111081301,8117,80559,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,18.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0
111081301,8117,80559,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,20.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0
111081301,8117,80559,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,-6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0
111081301,8117,80559,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-2.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
111081301,8117,997815,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111081301,8117,997815,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111081301,8117,997815,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111081301,8117,997815,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111081301,8117,998401,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,-1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
111081301,8117,998401,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-1.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
111081301,8117,998401,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
111081301,8117,998401,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111081301,8117,999135,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,23.5,2.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
111081301,8117,999135,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,20.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
111081301,8117,999135,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
111081301,8117,999135,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,23.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,0.0
111081301,8117,1001357,1,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,3.0,0.0,0.0,0.0,13.0,0.0,2.0,14.0,1.0,13.0,0.0,13.0,0.0,0.0,15.0,0.0,29.5,0.0,0.0,3.0,0.0,0.0,13.0,0.0,15.0,1.0,1.0,0.0
111081301,8117,1001357,2,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,1.0,6.0,0.0,3.0,8.0,2.0,6.0,0.0,6.0,0.0,0.0,11.0,1.0,8.0,0.0,0.0,3.0,0.0,1.0,6.0,2.0,12.0,1.0,1.0,0.0
111081301,8117,1001357,3,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,0.0,15.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,12.0,1.0,0.0,0.0
